日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2014/01/05,淡水,NO2,17,17,15,13,12,13,19,26,28,18,8.7,7.9,7.2,7.2,6.9,6.9,7.9,13,27,10,9.7,6.9,4.7,5.6
2014/01/05,淡水,NOx,18,18,16,13,13,13,20,30,33,21,10,9,8.2,8.5,8.3,8.2,9,15,30,12,11,8,5.5,6.2
2014/01/05,淡水,O3,46,44,47,51,55,51,45,34,27,45,58,59,60,61,60,61,61,53,28,55,55,56,59,56
2014/01/05,淡水,PM10,185,194,175,160,154,144,137,137,139,137,112,88,78,75,77,79,82,83,89,87,77,68,66,71
2014/01/05,淡水,PM2.5,97,103,100,91,83,78,73,68,73,74,59,46,42,37,35,39,40,40,45,45,40,35,34,34
2014/01/05,淡水,SO2,14,12,11,12,13,12,12,11,10,12,9.9,8.5,7.8,7.8,7.7,8.1,8.6,8.4,6.1,8.2,6.9,6.4,7.6,8.3
2014/01/05,淡水,UVB,0,0,0,0,0,0,0,0.2,0.7,1.5,2.6,3.4,3.5,2.9,1.8,0.8,0.2,0,0,0,0,0,0,0
2014/01/06,淡水,CO,0.27,0.28,0.25,0.26,0.22,0.26,0.31,0.36,0.2,0.18,0.18,0.18,0.17,0.18,0.19,0.21,0.21,0.22,0.21,0.17,0.17,0.18,0.17,0.16
2014/01/06,淡水,NO,1,0.9,1,0.1,-0.1,0.1,1.4,1.5,0.7,1,0.9,0.7,0.5,2.3,2,0.6,0.6,0.2,0.6,0.3,-0.1,0.2,0.3,0.3
2014/01/06,淡水,NO2,4.6,4.7,3.6,6,4.8,10,16,17,6.9,7.8,6.7,5.7,5.3,5.9,9.3,7.4,8.4,8.2,7.2,4.6,3.8,4.3,3.4,2.7
2014/01/06,淡水,NOx,5.7,5.7,4.7,6.1,4.7,11,18,18,7.6,8.8,7.6,6.4,5.9,8.2,11,8,9,8.5,7.8,4.9,3.7,4.5,3.8,3
2014/01/06,淡水,O3,55,53,53,48,48,37,31,33,43,41,42,41,44,42,40,41,40,43,43,45,44,43,45,45
2014/01/06,淡水,PM10,64,60,60,57,56,51,48,40,37,38,,32,32,34,40,39,37,37,34,31,28,29,27,29
2014/01/06,淡水,PM2.5,33,30,29,27,26,24,20,16,14,15,,12,13,14,13,12,13,14,15,13,12,11,11,14
2014/01/06,淡水,SO2,5.9,4.9,5,5.1,3.9,4.1,3.2,3.5,3.6,2.8,2.6,3.4,2.5,2.2,2.2,2.1,2,2.3,2.5,2.2,2,2.4,1.5,1.4
2014/01/06,淡水,UVB,0,0,0,0,0,0,0,0.2,0.5,0.7,2.3,1.6,3.2,2.5,1.3,0.5,0.2,0,0,0,0,0,0,0
2014/01/07,淡水,CO,0.16,0.16,0.15,0.16,0.17,0.16,0.19,0.45,0.67,0.85,0.61,0.61,0.43,0.5,0.51,0.45,0.43,0.81,1.45,1.53,1.49,1.12,0.78,0.65
2014/01/07,淡水,NO,0.3,0.2,0.4,1.2,1,0.8,0.8,2.7,7.2,12,4.9,3.5,3.6,6.7,4.4,2.5,2.6,6.3,15,19,24,12,2,2.4
2014/01/07,淡水,NO2,2.5,2,1.6,2.1,2.3,2.8,5,19,28,39,27,25,20,32,27,26,24,42,56,65,63,52,36,35
2014/01/07,淡水,NOx,2.7,2.2,2,3.3,3.3,3.6,5.8,22,36,51,32,29,24,38,31,29,27,49,72,83,88,65,38,37
2014/01/07,淡水,O3,45,45,45,44,43,42,39,25,14,17,33,44,46,42,48,54,60,37,5.4,3.6,3.5,4.5,14,14
2014/01/07,淡水,PM10,33,34,33,33,37,35,33,35,43,51,50,50,60,82,98,98,93,95,111,117,115,98,71,78
