Date,Station,Item,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2014/02/28,Sanyi,PM10,67,67,61,54,49,45,32,27,37,43,35,35,48,54,53,55,57,60,67,67,49,44,55,65
2014/03/01,Sanyi,PM10,76,70,46,39,48,48,48,44,40,46,43,45,53,54,48,54,60,49,46,59,78,84,86,95
2014/03/02,Sanyi,PM10,98,81,49,18,12,17,16,15,11,11,15,20,21,22,28,33,38,38,35,33,27,23,23,23
2014/03/04,Sanyi,PM10,49,48,50,54,39,23,22,24,28,29,40,48,56,65,62,78,94,93,89,72,61,53,43,26
2014/03/05,Sanyi,PM10,17,16,10,12,15,13,17,27,34,38,34,27,22,26,32,31,27,23,24,31,29,28,29,26
2014/03/06,Sanyi,PM10,26,21,17,23,22,23,26,22,27,31,33,37,39,39,33,31,33,26,20,16,12,12,15,16
2014/03/07,Sanyi,PM10,15,15,12,10,10,11,10,11,15,15,17,22,20,26,33,33,34,35,35,33,38,42,35,28
2014/03/08,Sanyi,PM10,32,37,34,29,20,13,16,23,24,22,20,12,12,12,12,13,15,15,15,18,15,11,12,12
2014/03/09,Sanyi,PM10,11,11,11,6,10,16,15,15,16,16,21,23,22,22,23,26,29,35,35,34,34,33,33,34
2014/03/11,Sanyi,PM10,111,108,98,77,56,48,39,37,49,61,66,76,78,75,79,82,83,83,66,55,55,48,48,45
2014/03/12,Sanyi,PM10,42,37,46,60,55,51,56,70,77,83,101,111,99,78,73,90,115,126,123,105,105,109,84,51
2014/03/13,Sanyi,PM10,31,34,34,29,26,26,33,29,22,23,23,24,23,21,23,27,27,24,17,22,31,44,64,70
2014/03/14,Sanyi,PM10,75,79,78,81,84,87,88,81,81,84,90,105,104,101,105,101,94,86,82,81,75,68,68,70
2014/03/15,Sanyi,PM10,66,62,62,76,101,111,106,112,121,134,141,127,114,114,127,130,115,97,90,94,97,98,99,105
2014/03/17,Sanyi,PM10,46,46,57,62,59,57,55,53,56,65,73,86,104,110,101,87,77,79,76,77,93,105,106,104
2014/03/19,Sanyi,PM10,56,56,57,60,59,68,90,101,106,106,100,99,98,87,77,77,83,92,104,114,123,132,125,101
2014/03/20,Sanyi,PM10,81,76,83,86,84,87,84,88,90,66,40,49,64,64,65,64,62,65,62,64,65,76,86,83
2014/03/21,Sanyi,PM10,81,77,72,61,48,42,35,35,44,50,50,54,62,57,51,49,44,44,42,39,37,33,32,34
2014/03/23,Sanyi,PM10,48,53,59,60,64,71,68,72,99,111,103,89,83,79,64,62,62,57,62,66,70,65,56,53
2014/03/24,Sanyi,PM10,54,57,60,60,56,56,61,62,67,78,89,104,110,101,90,86,89,97,103,104,93,89,88,88
2014/03/26,Sanyi,PM10,70,50,40,40,43,44,43,44,43,46,61,76,75,59,43,35,39,42,44,44,43,43,42,43
2014/03/28,Sanyi,PM10,68,71,84,78,50,46,51,62,62,64,68,56,53,43,35,37,43,43,51,55,72,104,108,98
2014/03/29,Sanyi,PM10,99,90,82,90,94,95,95,87,83,79,70,64,71,86,89,75,51,45,49,40,31,24,22,20
2014/03/30,Sanyi,PM10,22,28,27,29,33,34,35,37,38,39,42,42,38,40,49,55,61,68,79,92,93,86,71,62
2014/04/01,Sanyi,PM10,43,33,22,13,13,18,18,20,23,22,23,24,26,27,28,29,33,37,40,44,43,39,33,27
2014/04/02,Sanyi,PM10,27,33,32,27,21,22,27,27,28,27,28,31,33,40,35,35,56,64,64,70,66,57,60,60
2014/04/03,Sanyi,PM10,60,51,31,24,34,43,42,42,39,43,65,89,94,93,86,72,64,56,56,54,45,39,38,32
