Season,Dummy,DateStation,Item,Day00,Day01,Day02,Day03,Day04,Day05,Day06,Day07,Day08,Day09,Day10,Day11,Day12,Day13,Day14,Day15,Day16,Day17,Day18,Day19,Day20,Day21,Day22,Day23
Winter,1000,2014/01/31Sanyi,PM10,65.0,62.0,53.0,45.0,42.0,37.0,33.0,29.0,29.0,29.0,48.0,76.0,86.0,89.0,84.0,84.0,90.0,90.0,88.0,89.0,88.0,81.0,66.0,53.0
Winter,1000,2014/02/01Sanyi,PM10,50.0,49.0,45.0,45.0,43.0,40.0,39.0,46.0,46.0,39.0,34.0,32.0,34.0,42.0,44.0,43.0,43.0,42.0,127.0,148.0,98.0,92.0,64.0,46.0
Winter,1000,2014/02/02Sanyi,PM10,37.0,35.0,35.0,37.0,35.0,29.0,27.0,29.0,33.0,32.0,32.0,31.0,32.0,39.0,39.0,39.0,39.0,43.0,39.0,43.0,111.0,110.0,53.0,51.0
Winter,1000,2014/02/03Sanyi,PM10,46.0,46.0,43.0,38.0,33.0,29.0,28.0,27.0,24.0,24.0,23.0,24.0,37.0,45.0,45.0,44.0,37.0,37.0,51.0,62.0,64.0,62.0,65.0,62.0
Winter,1000,2014/02/04Sanyi,PM10,67.0,73.0,70.0,67.0,60.0,49.0,37.0,27.0,26.0,23.0,21.0,21.0,29.0,40.0,38.0,33.0,31.0,24.0,18.0,18.0,15.0,18.0,20.0,10.0
Winter,1000,2014/02/05Sanyi,PM10,11.0,11.0,5.0,6.0,7.0,6.0,9.0,6.0,7.0,11.0,11.0,7.0,9.0,16.0,20.0,26.0,37.0,43.0,45.0,44.0,46.0,55.0,53.0,46.0
Winter,1000,2014/02/07Sanyi,PM10,49.0,34.0,23.0,21.0,22.0,33.0,53.0,51.0,32.0,23.0,29.0,34.0,32.0,31.0,29.0,39.0,49.0,40.0,34.0,31.0,24.0,27.0,28.0,28.0
Winter,1000,2014/02/08Sanyi,PM10,24.0,18.0,18.0,16.0,12.0,13.0,13.0,11.0,9.0,15.0,20.0,17.0,20.0,24.0,23.0,22.0,23.0,24.0,27.0,23.0,18.0,20.0,20.0,12.0
Winter,1000,2014/02/09Sanyi,PM10,11.0,12.0,9.0,10.0,10.0,9.0,6.0,9.0,13.0,13.0,10.0,9.0,9.0,11.0,12.0,10.0,13.0,12.0,9.0,11.0,10.0,11.0,11.0,12.0
Winter,1000,2014/02/10Sanyi,PM10,13.0,10.0,5.0,10.0,11.0,12.0,17.0,16.0,13.0,17.0,16.0,15.0,17.0,17.0,15.0,16.0,15.0,13.0,18.0,20.0,22.0,20.0,24.0,27.0
Winter,1000,2014/02/11Sanyi,PM10,23.0,22.0,18.0,18.0,26.0,32.0,31.0,32.0,35.0,35.0,28.0,24.0,26.0,27.0,33.0,32.0,33.0,37.0,34.0,31.0,27.0,28.0,31.0,27.0
Winter,1000,2014/02/13Sanyi,PM10,27.0,24.0,24.0,24.0,22.0,21.0,16.0,11.0,11.0,9.0,7.0,9.0,13.0,13.0,12.0,11.0,13.0,15.0,17.0,17.0,16.0,16.0,15.0,15.0
Winter,1000,2014/02/14Sanyi,PM10,16.0,13.0,12.0,11.0,16.0,17.0,12.0,15.0,15.0,15.0,16.0,20.0,24.0,23.0,20.0,20.0,20.0,21.0,22.0,24.0,24.0,22.0,24.0,22.0
Winter,1000,2014/02/15Sanyi,PM10,22.0,22.0,24.0,26.0,22.0,18.0,21.0,24.0,26.0,26.0,24.0,23.0,23.0,26.0,34.0,35.0,34.0,40.0,42.0,37.0,31.0,27.0,31.0,39.0
Winter,1000,2014/02/16Sanyi,PM10,49.0,48.0,44.0,50.0,48.0,37.0,35.0,35.0,31.0,31.0,39.0,43.0,39.0,38.0,51.0,68.0,67.0,70.0,67.0,64.0,60.0,50.0,50.0,49.0
Winter,1000,2014/02/17Sanyi,PM10,38.0,31.0,37.0,62.0,82.0,73.0,55.0,48.0,50.0,42.0,37.0,37.0,37.0,50.0,60.0,70.0,71.0,66.0,70.0,73.0,76.0,86.0,93.0,86.0
Winter,1000,2014/02/20Sanyi,PM10,29.0,32.0,35.0,37.0,35.0,35.0,34.0,34.0,38.0,40.0,39.0,37.0,40.0,44.0,50.0,57.0,67.0,76.0,70.0,64.0,65.0,65.0,60.0,56.0
Winter,1000,2014/02/21Sanyi,PM10,53.0,57.0,61.0,60.0,57.0,49.0,45.0,50.0,50.0,46.0,48.0,53.0,54.0,49.0,43.0,45.0,46.0,48.0,49.0,43.0,40.0,110.0,110.0,39.0
Winter,1000,2014/02/22Sanyi,PM10,35.0,32.0,35.0,42.0,42.0,37.0,35.0,42.0,53.0,56.0,55.0,56.0,50.0,46.0,49.0,49.0,48.0,50.0,53.0,50.0,54.0,50.0,40.0,32.0
Winter,1000,2014/02/23Sanyi,PM10,29.0,35.0,37.0,39.0,38.0,34.0,35.0,37.0,32.0,31.0,27.0,28.0,35.0,42.0,45.0,43.0,46.0,55.0,53.0,49.0,44.0,38.0,38.0,38.0
Winter,1000,2014/02/24Sanyi,PM10,42.0,39.0,33.0,29.0,29.0,32.0,33.0,45.0,66.0,77.0,86.0,99.0,108.0,111.0,114.0,116.0,117.0,130.0,136.0,120.0,90.0,75.0,50.0,21.0
Winter,1000,2014/02/25Sanyi,PM10,17.0,18.0,20.0,27.0,32.0,27.0,18.0,22.0,39.0,40.0,42.0,54.0,56.0,45.0,38.0,49.0,64.0,82.0,95.0,95.0,101.0,115.0,109.0,77.0
Winter,1000,2014/02/27Sanyi,PM10,50.0,43.0,34.0,32.0,38.0,39.0,43.0,49.0,48.0,54.0,55.0,48.0,50.0,60.0,61.0,62.0,66.0,65.0,65.0,66.0,62.0,50.0,43.0,54.0
Winter,1000,2014/02/28Sanyi,PM10,67.0,67.0,61.0,54.0,49.0,45.0,32.0,27.0,37.0,43.0,35.0,35.0,48.0,54.0,53.0,55.0,57.0,60.0,67.0,67.0,49.0,44.0,55.0,65.0
Spring,1000,2014/03/01Sanyi,PM10,76.0,70.0,46.0,39.0,48.0,48.0,48.0,44.0,40.0,46.0,43.0,45.0,53.0,54.0,48.0,54.0,60.0,49.0,46.0,59.0,78.0,84.0,86.0,95.0
Spring,1000,2014/03/02Sanyi,PM10,98.0,81.0,49.0,18.0,12.0,17.0,16.0,15.0,11.0,11.0,15.0,20.0,21.0,22.0,28.0,33.0,38.0,38.0,35.0,33.0,27.0,23.0,23.0,23.0
Spring,1000,2014/03/04Sanyi,PM10,49.0,48.0,50.0,54.0,39.0,23.0,22.0,24.0,28.0,29.0,40.0,48.0,56.0,65.0,62.0,78.0,94.0,93.0,89.0,72.0,61.0,53.0,43.0,26.0
Spring,1000,2014/03/05Sanyi,PM10,17.0,16.0,10.0,12.0,15.0,13.0,17.0,27.0,34.0,38.0,34.0,27.0,22.0,26.0,32.0,31.0,27.0,23.0,24.0,31.0,29.0,28.0,29.0,26.0
Spring,1000,2014/03/06Sanyi,PM10,26.0,21.0,17.0,23.0,22.0,23.0,26.0,22.0,27.0,31.0,33.0,37.0,39.0,39.0,33.0,31.0,33.0,26.0,20.0,16.0,12.0,12.0,15.0,16.0
Spring,1000,2014/03/07Sanyi,PM10,15.0,15.0,12.0,10.0,10.0,11.0,10.0,11.0,15.0,15.0,17.0,22.0,20.0,26.0,33.0,33.0,34.0,35.0,35.0,33.0,38.0,42.0,35.0,28.0
Spring,1000,2014/03/08Sanyi,PM10,32.0,37.0,34.0,29.0,20.0,13.0,16.0,23.0,24.0,22.0,20.0,12.0,12.0,12.0,12.0,13.0,15.0,15.0,15.0,18.0,15.0,11.0,12.0,12.0
Spring,1000,2014/03/09Sanyi,PM10,11.0,11.0,11.0,6.0,10.0,16.0,15.0,15.0,16.0,16.0,21.0,23.0,22.0,22.0,23.0,26.0,29.0,35.0,35.0,34.0,34.0,33.0,33.0,34.0
Spring,1000,2014/03/11Sanyi,PM10,111.0,108.0,98.0,77.0,56.0,48.0,39.0,37.0,49.0,61.0,66.0,76.0,78.0,75.0,79.0,82.0,83.0,83.0,66.0,55.0,55.0,48.0,48.0,45.0
Spring,1000,2014/03/12Sanyi,PM10,42.0,37.0,46.0,60.0,55.0,51.0,56.0,70.0,77.0,83.0,101.0,111.0,99.0,78.0,73.0,90.0,115.0,126.0,123.0,105.0,105.0,109.0,84.0,51.0
Spring,1000,2014/03/13Sanyi,PM10,31.0,34.0,34.0,29.0,26.0,26.0,33.0,29.0,22.0,23.0,23.0,24.0,23.0,21.0,23.0,27.0,27.0,24.0,17.0,22.0,31.0,44.0,64.0,70.0
Spring,1000,2014/03/14Sanyi,PM10,75.0,79.0,78.0,81.0,84.0,87.0,88.0,81.0,81.0,84.0,90.0,105.0,104.0,101.0,105.0,101.0,94.0,86.0,82.0,81.0,75.0,68.0,68.0,70.0
Spring,1000,2014/03/15Sanyi,PM10,66.0,62.0,62.0,76.0,101.0,111.0,106.0,112.0,121.0,134.0,141.0,127.0,114.0,114.0,127.0,130.0,115.0,97.0,90.0,94.0,97.0,98.0,99.0,105.0
Spring,1000,2014/03/17Sanyi,PM10,46.0,46.0,57.0,62.0,59.0,57.0,55.0,53.0,56.0,65.0,73.0,86.0,104.0,110.0,101.0,87.0,77.0,79.0,76.0,77.0,93.0,105.0,106.0,104.0
Spring,1000,2014/03/19Sanyi,PM10,56.0,56.0,57.0,60.0,59.0,68.0,90.0,101.0,106.0,106.0,100.0,99.0,98.0,87.0,77.0,77.0,83.0,92.0,104.0,114.0,123.0,132.0,125.0,101.0
Spring,1000,2014/03/20Sanyi,PM10,81.0,76.0,83.0,86.0,84.0,87.0,84.0,88.0,90.0,66.0,40.0,49.0,64.0,64.0,65.0,64.0,62.0,65.0,62.0,64.0,65.0,76.0,86.0,83.0
Spring,1000,2014/03/21Sanyi,PM10,81.0,77.0,72.0,61.0,48.0,42.0,35.0,35.0,44.0,50.0,50.0,54.0,62.0,57.0,51.0,49.0,44.0,44.0,42.0,39.0,37.0,33.0,32.0,34.0
Spring,1000,2014/03/23Sanyi,PM10,48.0,53.0,59.0,60.0,64.0,71.0,68.0,72.0,99.0,111.0,103.0,89.0,83.0,79.0,64.0,62.0,62.0,57.0,62.0,66.0,70.0,65.0,56.0,53.0
Spring,1000,2014/03/24Sanyi,PM10,54.0,57.0,60.0,60.0,56.0,56.0,61.0,62.0,67.0,78.0,89.0,104.0,110.0,101.0,90.0,86.0,89.0,97.0,103.0,104.0,93.0,89.0,88.0,88.0
Spring,1000,2014/03/26Sanyi,PM10,70.0,50.0,40.0,40.0,43.0,44.0,43.0,44.0,43.0,46.0,61.0,76.0,75.0,59.0,43.0,35.0,39.0,42.0,44.0,44.0,43.0,43.0,42.0,43.0
Spring,1000,2014/03/28Sanyi,PM10,68.0,71.0,84.0,78.0,50.0,46.0,51.0,62.0,62.0,64.0,68.0,56.0,53.0,43.0,35.0,37.0,43.0,43.0,51.0,55.0,72.0,104.0,108.0,98.0
Spring,1000,2014/03/29Sanyi,PM10,99.0,90.0,82.0,90.0,94.0,95.0,95.0,87.0,83.0,79.0,70.0,64.0,71.0,86.0,89.0,75.0,51.0,45.0,49.0,40.0,31.0,24.0,22.0,20.0
Spring,1000,2014/03/30Sanyi,PM10,22.0,28.0,27.0,29.0,33.0,34.0,35.0,37.0,38.0,39.0,42.0,42.0,38.0,40.0,49.0,55.0,61.0,68.0,79.0,92.0,93.0,86.0,71.0,62.0
Spring,1000,2014/04/01Sanyi,PM10,43.0,33.0,22.0,13.0,13.0,18.0,18.0,20.0,23.0,22.0,23.0,24.0,26.0,27.0,28.0,29.0,33.0,37.0,40.0,44.0,43.0,39.0,33.0,27.0
Spring,1000,2014/04/02Sanyi,PM10,27.0,33.0,32.0,27.0,21.0,22.0,27.0,27.0,28.0,27.0,28.0,31.0,33.0,40.0,35.0,35.0,56.0,64.0,64.0,70.0,66.0,57.0,60.0,60.0
Spring,1000,2014/04/03Sanyi,PM10,60.0,51.0,31.0,24.0,34.0,43.0,42.0,42.0,39.0,43.0,65.0,89.0,94.0,93.0,86.0,72.0,64.0,56.0,56.0,54.0,45.0,39.0,38.0,32.0
Spring,1000,2014/04/04Sanyi,PM10,32.0,33.0,37.0,35.0,37.0,43.0,42.0,38.0,39.0,44.0,50.0,61.0,66.0,60.0,61.0,67.0,72.0,77.0,79.0,82.0,78.0,78.0,76.0,65.0
Spring,1000,2014/04/05Sanyi,PM10,53.0,50.0,53.0,55.0,54.0,48.0,49.0,60.0,75.0,77.0,66.0,71.0,77.0,77.0,68.0,61.0,67.0,70.0,70.0,68.0,73.0,82.0,73.0,65.0
Spring,1000,2014/04/06Sanyi,PM10,65.0,64.0,60.0,57.0,56.0,56.0,59.0,56.0,60.0,75.0,95.0,106.0,101.0,95.0,94.0,87.0,81.0,77.0,71.0,67.0,65.0,65.0,71.0,90.0
Spring,1000,2014/04/07Sanyi,PM10,99.0,94.0,81.0,70.0,68.0,67.0,68.0,55.0,38.0,35.0,31.0,27.0,27.0,26.0,26.0,21.0,22.0,29.0,32.0,31.0,28.0,29.0,31.0,33.0
Spring,1000,2014/04/09Sanyi,PM10,54.0,65.0,81.0,83.0,72.0,60.0,61.0,76.0,81.0,88.0,83.0,71.0,64.0,60.0,61.0,62.0,60.0,57.0,62.0,65.0,65.0,56.0,44.0,39.0
Spring,1000,2014/04/10Sanyi,PM10,43.0,45.0,42.0,42.0,42.0,34.0,27.0,31.0,42.0,44.0,40.0,43.0,45.0,44.0,54.0,67.0,70.0,71.0,73.0,72.0,70.0,72.0,68.0,68.0
Spring,1000,2014/04/11Sanyi,PM10,77.0,76.0,77.0,79.0,78.0,98.0,112.0,110.0,108.0,94.0,79.0,73.0,71.0,62.0,57.0,57.0,55.0,60.0,70.0,75.0,79.0,86.0,89.0,89.0
Spring,1000,2014/04/12Sanyi,PM10,82.0,78.0,70.0,61.0,60.0,55.0,46.0,42.0,44.0,57.0,70.0,75.0,72.0,59.0,51.0,56.0,60.0,61.0,60.0,60.0,64.0,64.0,57.0,48.0
Spring,1000,2014/04/13Sanyi,PM10,49.0,56.0,64.0,71.0,66.0,59.0,57.0,51.0,51.0,57.0,59.0,57.0,55.0,57.0,57.0,50.0,45.0,45.0,44.0,42.0,48.0,57.0,64.0,62.0
